tokens,token_label,case,case_label,status,valid_rows,padded_rows,down_ms,gate_up_ms,total_ms,speed_vs_sonic,total_valid_tflops,gpu_memory_peak_gb,gpu_memory_peak_bytes,down_deepseek_calc_diff,gate_up_deepseek_calc_diff,max_deepseek_calc_diff,correctness_status,run_dir,results_json,summary_json,log_path,error_log_path,error_tail
4096,4k,sonic_bf16,Sonic BF16,ok,32768,32768,5.835572526041667,11.2108796875,16.8690609375,1.0,171.09535815926327,24.341266432,24341266432,2.494122686158562e-10,2.9275615265333954e-10,2.9275615265333954e-10,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/run.log,,
4096,4k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,32768,32768,4.40580078125,8.612676041666667,12.945158072916666,1.303117415985268,222.95734101157313,25.033326592,25033326592,2.535085045218821e-07,2.539448118454857e-07,2.539448118454857e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/run.log,,
8192,8k,sonic_bf16,Sonic BF16,ok,65536,65536,9.221439583333334,17.189836458333332,26.466122916666666,1.0,218.10659853729047,25.80678656,25806786560,4.323889024604455e-10,5.90909099429382e-10,5.90909099429382e-10,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/run.log,,
8192,8k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,65536,65536,6.235539713541667,12.241979166666667,18.384565625,1.4395838039641835,313.98272679200164,27.186188288,27186188288,2.469737243604442e-07,2.4510122564880277e-07,2.469737243604442e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/run.log,,
16384,16k,sonic_bf16,Sonic BF16,ok,131072,131072,14.8677875,30.70755,45.51074479166667,1.0,253.67354774123461,28.737826816,28737826816,1.2637514368307734e-09,1.2308740693356413e-09,1.2637514368307734e-09,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/run.log,,
16384,16k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,131072,131072,9.762926562499999,19.466258854166664,29.228052083333335,1.557091271833958,394.9928670830313,31.489814528,31489814528,2.39965411097387e-07,2.407098178558442e-07,2.407098178558442e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/run.log,,
32768,32k,sonic_bf16,Sonic BF16,ok,262144,262144,27.155971875,55.94005625,83.26155625,1.0,277.3157892217034,34.599907328,34599907328,2.4610561366600336e-09,2.4581302549009365e-09,2.4610561366600336e-09,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/run.log,,
32768,32k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,262144,262144,17.245917708333334,34.51115625,51.76180625,1.6085519861471218,446.0768635425276,40.096018432,40096018432,2.396008171867692e-07,2.398618693666421e-07,2.398618693666421e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/run.log,,
