deepgemm	minimax_m3	MiniMax-M3	skewed	16	128	8	4	6144	3072	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep16/skewed/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	1	512	512	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	1	512	512	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	1	512	512	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/skewed/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	1	512	512	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/skewed/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	8	512	64	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep8/balanced/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	8	512	64	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep8/balanced/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	8	512	64	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep8/skewed/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	8	512	64	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep8/skewed/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	16	512	32	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep16/balanced/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	balanced	16	512	32	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep16/balanced/deepgemm
sonic_custom	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	16	512	32	10	4096	1024	4096,8192,16384,32768	4096,8192,16384,32768	1	1	0	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep16/skewed/sonic_custom
deepgemm	qwen3_5_397b_a17b	Qwen3.5-397B-A17B	skewed	16	512	32	10	4096	1024	4096,8192	4096,8192	0	0	1	artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep16/skewed/deepgemm
