status,dtype,m,n,k,mean_ms,min_ms,max_ms,mean_tflops,best_tflops,worst_tflops,hbm_bytes_lower_bound,arithmetic_intensity_flops_per_byte,gpu_memory_peak_gb,error_tail
ok,bf16,8192,8192,8192,3.435214274088542,3.420988037109375,3.455780029296875,320.0707554313278,321.40177511554583,318.1659765536959,402653184.0,2730.6666666666665,0.436207616,
ok,bf16,16384,16384,16384,28.59549934895833,27.7843828125,29.100564453125,307.60410632690775,316.58407104334526,302.2653748306735,1610612736.0,5461.333333333333,1.644167168,
ok,bf16,32768,32768,32768,236.52885416666666,236.235640625,236.796625,297.5059614844271,297.8752231944849,297.16954022323586,6442450944.0,10922.666666666666,6.476005376,
