tokens,token_label,case,case_label,status,valid_rows,padded_rows,down_ms,gate_up_ms,total_ms,speed_vs_sonic,total_valid_tflops,gpu_memory_peak_gb,gpu_memory_peak_bytes,down_deepseek_calc_diff,gate_up_deepseek_calc_diff,max_deepseek_calc_diff,correctness_status,run_dir,results_json,summary_json,log_path,error_log_path,error_tail
4096,4k,sonic_bf16,Sonic BF16,ok,16384,16384,3.0303353515625,6.309083463541667,9.328283854166667,1.0,198.90323888924502,15.718229504,15718229504,1.8190604578194325e-10,2.58616794646116e-10,2.58616794646116e-10,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_sonic_bf16/run.log,,
4096,4k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,16384,16384,2.812024609375,5.523489713541666,8.370750781249999,1.1143903453751707,221.6558490820259,16.082085376,16082085376,2.533389968917277e-07,2.5396552216783164e-07,2.5396552216783164e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_4k_custom_cute_fp8_bf16_out/run.log,,
8192,8k,sonic_bf16,Sonic BF16,ok,32768,32768,5.836464192708333,11.038131510416667,16.939548958333333,1.0,219.06437726716823,16.529894912,16529894912,5.449506401689064e-10,5.819801307538341e-10,5.819801307538341e-10,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_sonic_bf16/run.log,,
8192,8k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,32768,32768,3.9678592447916667,7.803277083333334,11.77456328125,1.4386562417400344,315.1583336983052,17.250266624,17250266624,2.46155293814887e-07,2.4684114596773554e-07,2.4684114596773554e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_8k_custom_cute_fp8_bf16_out/run.log,,
16384,16k,sonic_bf16,Sonic BF16,ok,65536,65536,7.233464583333333,14.073794791666666,21.296044270833335,1.0,348.50150540176264,18.153225728,18153225728,1.1145067091433702e-09,1.212903666392151e-09,1.212903666392151e-09,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_sonic_bf16/run.log,,
16384,16k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,65536,65536,6.314726562500001,12.519442447916667,18.847902604166666,1.129889341964525,393.768136612044,19.587677696,19587677696,2.414058143385134e-07,2.404927378352184e-07,2.414058143385134e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_16k_custom_cute_fp8_bf16_out/run.log,,
32768,32k,sonic_bf16,Sonic BF16,ok,131072,131072,13.09468671875,27.263991666666666,40.20365416666667,1.0,369.20541882689974,21.39988736,21399887360,2.538415144748285e-09,2.5934564495955215e-09,2.5934564495955215e-09,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_sonic_bf16/run.log,,
32768,32k,custom_cute_fp8_bf16_out,Custom CuTe FP8 BF16-out,ok,131072,131072,11.149388802083333,21.867121875000002,32.83486979166667,1.2244194791011525,452.0623066013554,24.26249984,24262499840,2.4098983730791446e-07,2.4023635925018993e-07,2.4098983730791446e-07,deepseek_calc_diff_ok,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/results.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/summary.json,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep1/balanced/sonic_custom/tokens_32k_custom_cute_fp8_bf16_out/run.log,,
