model_key,model_label,route,ep,run_kind,device,global_experts,local_experts,top_k,hidden,intermediate,global_tokens_value,local_tokens_value,case,case_label,status,total_ms,speed_vs_sonic,total_valid_tflops,max_deepseek_calc_diff,gpu_memory_peak_gb,output_dir,source_results_json,error_log_path,error_tail
qwen3_30b,Qwen3-30B-A3B,balanced,1,sonic_custom,1,128,128,8,2048,768,32768,32768,sonic_bf16,Sonic BF16,ok,8.890300520833334,1.0,278.2696891627808,6.2074473339279734e-09,4.927299072,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,1,sonic_custom,1,128,128,8,2048,768,32768,32768,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,5.436136328125,1.6354079412684124,455.08445947110437,2.4094211437120094e-07,6.629924352,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,deepgemm,1,128,16,8,2048,768,4096,4096,deepgemm_fp8,DeepGEMM FP8,ok,1.0160157877604166,,304.36303159584395,1.119368564506118e-08,1.379925504,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,deepgemm,1,128,16,8,2048,768,8192,8192,deepgemm_fp8,DeepGEMM FP8,ok,1.6713918294270833,,370.0360859344393,1.2433892027097215e-08,2.2631552,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,4096,4096,sonic_bf16,Sonic BF16,ok,1.0126392252604166,1.0,305.3779051788898,8.694189035374222e-09,0.698491904,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,4096,4096,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,0.7418250651041667,1.3650647206403337,416.86060482275155,2.3638178969775936e-07,0.887235584,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,8192,8192,sonic_bf16,Sonic BF16,ok,2.1032378255208335,1.0,294.0586571425152,6.209581626670513e-09,1.180972032,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,8192,8192,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,1.3616474934895832,1.54462725160293,454.21101539209155,2.5003734172024394e-07,1.556624384,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,16384,16384,sonic_bf16,Sonic BF16,ok,4.1545828125,1.0,297.73159835118827,2.8554698494609454e-08,2.145932288,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,16384,16384,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,2.6753677734375003,1.552901568804464,462.3478661622207,2.450890532745831e-07,2.895401984,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
